! Earth Orientation Predictions (in TCC format)

! UTC   UTC-TAI   UT1-TAI     dX       dY
! days    sec       sec     arcsec   arcsec
 58683    -37   -37.16617   0.1826   0.4046
 58684    -37   -37.16553   0.1835   0.4036
 58685    -37   -37.16502   0.1845   0.4025
 58686    -37   -37.16459   0.1856   0.4014
 58687    -37   -37.16423   0.1867   0.4003
 58688    -37   -37.16391   0.1878   0.3993
 58689    -37   -37.16359   0.1889   0.3983
 58690    -37   -37.16324   0.1898   0.3973
 58691    -37   -37.16283   0.1907   0.3964
 58692    -37   -37.16234   0.1915   0.3954
 58693    -37   -37.16178   0.1922   0.3943
 58694    -37   -37.16116   0.1930   0.3932
 58695    -37   -37.16052   0.1938   0.3921
 58696    -37   -37.15994   0.1945   0.3910
 58697    -37   -37.15954   0.1953   0.3899
 58698    -37   -37.15938   0.1960   0.3888
 58699    -37   -37.15942   0.1967   0.3878
 58700    -37   -37.15958   0.1974   0.3867
 58701    -37   -37.15976   0.1980   0.3855
 58702    -37   -37.15984   0.1986   0.3844
 58703    -37   -37.15977   0.1991   0.3832
 58704    -37   -37.15953   0.1997   0.3820
 58705    -37   -37.15913   0.2002   0.3808
 58706    -37   -37.15861   0.2008   0.3796
 58707    -37   -37.15804   0.2012   0.3784
 58708    -37   -37.15746   0.2017   0.3772
 58709    -37   -37.15694   0.2021   0.3760
 58710    -37   -37.15651   0.2025   0.3748
 58711    -37   -37.15619   0.2029   0.3735
 58712    -37   -37.15601   0.2033   0.3723
 58713    -37   -37.15595   0.2036   0.3710
 58714    -37   -37.15599   0.2039   0.3698
 58715    -37   -37.15611   0.2042   0.3685
 58716    -37   -37.15626   0.2045   0.3672
 58717    -37   -37.15641   0.2047   0.3660
 58718    -37   -37.15652   0.2049   0.3647
 58719    -37   -37.15656   0.2051   0.3634
 58720    -37   -37.15652   0.2053   0.3621
 58721    -37   -37.15642   0.2054   0.3608
 58722    -37   -37.15632   0.2055   0.3595
 58723    -37   -37.15630   0.2056   0.3582
 58724    -37   -37.15645   0.2056   0.3569
 58725    -37   -37.15685   0.2056   0.3556
 58726    -37   -37.15750   0.2056   0.3543
 58727    -37   -37.15835   0.2056   0.3530
 58728    -37   -37.15927   0.2056   0.3517
 58729    -37   -37.16013   0.2055   0.3504
 58730    -37   -37.16084   0.2054   0.3491
 58731    -37   -37.16133   0.2052   0.3478
 58732    -37   -37.16161   0.2050   0.3465
 58733    -37   -37.16173   0.2049   0.3452
 58734    -37   -37.16174   0.2046   0.3439
 58735    -37   -37.16170   0.2044   0.3426
 58736    -37   -37.16168   0.2041   0.3413
 58737    -37   -37.16173   0.2038   0.3400
 58738    -37   -37.16187   0.2035   0.3387
 58739    -37   -37.16212   0.2031   0.3374
 58740    -37   -37.16250   0.2028   0.3361
 58741    -37   -37.16298   0.2023   0.3349
 58742    -37   -37.16353   0.2019   0.3336
 58743    -37   -37.16412   0.2015   0.3323
 58744    -37   -37.16470   0.2010   0.3311
 58745    -37   -37.16524   0.2005   0.3298
 58746    -37   -37.16570   0.1999   0.3286
 58747    -37   -37.16607   0.1994   0.3273
 58748    -37   -37.16637   0.1988   0.3261
 58749    -37   -37.16665   0.1982   0.3249
 58750    -37   -37.16696   0.1975   0.3237
 58751    -37   -37.16741   0.1969   0.3225
 58752    -37   -37.16807   0.1962   0.3213
 58753    -37   -37.16900   0.1955   0.3201
 58754    -37   -37.17016   0.1947   0.3189
 58755    -37   -37.17148   0.1940   0.3177
 58756    -37   -37.17283   0.1932   0.3166
 58757    -37   -37.17406   0.1924   0.3154
 58758    -37   -37.17509   0.1916   0.3143
 58759    -37   -37.17588   0.1907   0.3132
 58760    -37   -37.17646   0.1898   0.3121
 58761    -37   -37.17688   0.1889   0.3110
 58762    -37   -37.17723   0.1880   0.3099
 58763    -37   -37.17756   0.1871   0.3088
 58764    -37   -37.17795   0.1861   0.3078
 58765    -37   -37.17842   0.1851   0.3068
 58766    -37   -37.17901   0.1841   0.3057
 58767    -37   -37.17972   0.1831   0.3047
 58768    -37   -37.18054   0.1820   0.3037
 58769    -37   -37.18145   0.1810   0.3027
 58770    -37   -37.18241   0.1799   0.3018
 58771    -37   -37.18337   0.1788   0.3008
 58772    -37   -37.18428   0.1776   0.2999
 58773    -37   -37.18511   0.1765   0.2990
 58774    -37   -37.18584   0.1753   0.2981
 58775    -37   -37.18647   0.1741   0.2972
 58776    -37   -37.18705   0.1729   0.2963
 58777    -37   -37.18763   0.1717   0.2955
 58778    -37   -37.18830   0.1705   0.2947
 58779    -37   -37.18914   0.1692   0.2939
 58780    -37   -37.19021   0.1679   0.2931
 58781    -37   -37.19153   0.1666   0.2923
 58782    -37   -37.19305   0.1653   0.2916
 58783    -37   -37.19467   0.1640   0.2908
 58784    -37   -37.19626   0.1627   0.2901
 58785    -37   -37.19769   0.1613   0.2894
 58786    -37   -37.19889   0.1600   0.2888
 58787    -37   -37.19985   0.1586   0.2881
 58788    -37   -37.20062   0.1572   0.2875
 58789    -37   -37.20126   0.1558   0.2869
 58790    -37   -37.20185   0.1544   0.2863
 58791    -37   -37.20242   0.1530   0.2857
 58792    -37   -37.20306   0.1515   0.2852
 58793    -37   -37.20380   0.1501   0.2847
 58794    -37   -37.20465   0.1486   0.2842
 58795    -37   -37.20560   0.1471   0.2837
 58796    -37   -37.20664   0.1457   0.2832
 58797    -37   -37.20773   0.1442   0.2828
 58798    -37   -37.20881   0.1427   0.2824
 58799    -37   -37.20985   0.1412   0.2820
 58800    -37   -37.21079   0.1396   0.2816
 58801    -37   -37.21161   0.1381   0.2813
 58802    -37   -37.21231   0.1366   0.2810
